cases,users,dates,,,
139176,20000,4-Mar,,,
141995,22000,5-Mar,,,
145912,24000,6-Mar,,,
150010,26000,7-Mar,,,
153949,30000,8-Mar,,,
158131,32000,9-Mar,,,
162955,33000,10-Mar,,,
170615,34000,11-Mar,,,
176415,37000,12-Mar,,,
190767,45000,13-Mar,,,
201866,185000,14-Mar,,,
213146,235000,15-Mar,,,
227940,310000,16-Mar,,,
243946,380000,17-Mar,,,
263494,410000,18-Mar,,,
290593,430000,19-Mar,,,
321475,465000,20-Mar,,,
353591,495000,21-Mar,,,
388733,540000,22-Mar,,,
431401,610000,23-Mar,,,
472488,700000,24-Mar,,,
523578,725000,25-Mar,,,
586441,745000,26-Mar,,,
651352,775000,27-Mar,,,
721018,810000,28-Mar,,,
777919,825000,29-Mar,,,
843199,835000,30-Mar,,,
920019,845000,31-Mar,,,
1002935,866000,1-Apr,,,
1085847,930000,2-Apr,,,
1170163,935000,3-Apr,,,
1229097,945000,4-Apr,,,
1300204,955000,5-Apr,,,
1374079,960000,6-Apr,,,
1443481,965000,7-Apr,,,
1526806,970000,8-Apr,,,
1614163,975000,9-Apr,,,
1699554,980000,10-Apr,,,
1774032,990000,11-Apr,,,
1893568,997500,12-Apr,,,
1964555,1050000,13-Apr,,,
2048404,1055000,14-Apr,,,
2126565,1060000,15-Apr,,,
2221952,1065000,16-Apr,,,
2310148,1070000,17-Apr,,,
2387398,1075000,18-Apr,,,
2464225,1080000,19-Apr,,,
2539665,1085000,20-Apr,,,
2615622,1090000,21-Apr,,,
2697462,1095000,22-Apr,,,
2780977,1100000,23-Apr,,,
2864905,1106600,24-Apr,,,
2947873,1113239.6,25-Apr,,,
3019315,1119919.038,26-Apr,,,
3089520,1126638.552,27-Apr,,,
3165327,1133398.383,28-Apr,,,
3242316,1140198.773,29-Apr,,,
3325687,1147039.966,30-Apr,,,
3414285,1153922.206,1-May,,,
3493946,1160845.739,2-May,,,
3568849,1170000,3-May,,,
3646038,1170819,4-May,,,
3726142,1171638.573,5-May,,,
3816545,1172458.72,6-May,,,
3905436,1173279.441,7-May,,,
3996018,1174100.737,8-May,,,
4080174,1174922.608,9-May,,,
4155871,1175745.053,10-May,,,
4232225,1176568.075,11-May,,,
4316665,1177391.673,12-May,,,
4401620,1178215.847,13-May,,,
4497499,1179040.598,14-May,,,
4593651,1179865.926,15-May,,,
4687930,1180691.832,16-May,,,
4766358,1181518.317,17-May,,,
4855073,1182345.379,18-May,,,
4951870,1183173.021,19-May,,,
5053992,1184001.242,20-May,,,
5160672,1184830.043,21-May,,,
5267011,1185659.424,22-May,,,
5371461,1186000,23-May,,,
5466284,1186711.6,24-May,,,
5552873,1187423.627,25-May,,,
5645681,1188136.081,26-May,,,
5749217,1188848.963,27-May,,,
5867735,1189562.272,28-May,,,
5988851,1190276.01,29-May,,,
6125713,1190990.175,30-May,,,
6232445,1191704.769,31-May,,,
6328151,1192419.792,1-Jun,,,
6449860,1193135.244,2-Jun,,,
6564044,1200000,3-Jun,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
